id,imieNazwisko,klub,dataUr,wiek,miejsceUr,plec,ukonczonaSzkola,wyksztalcenie,najwyzszyStopienNaukowy,liczbaStudiowPodyplomowych,zawod,nrOkreguWyborczego,okregWyborczy,wojewodztwoOkreguWyborczego,liczbaGlosow,stazParlamentarny,ktoraKadencja,czyAktywny,powodNieaktywnosci,nieaktywnoscKomentarz,nieaktywnoscKategoria
40,Marek Jan Chmielewski,KO,1962-05-06,63,Dzierżoniów,M,"Akademia Rolnicza we Wrocławiu, Wydział Technologii Żywności, Technologia Żywności - magister inżynier (1986)",wyższe,magister inżynier,0,technolog żywności,2,Wałbrzych,dolnośląskie,9108,brak,1,True,,,
41,Zbigniew Chmielowiec,PiS,1954-09-22,71,Kolbuszowa,M,"Politechnika Krakowska, Wydział Inżynierii Sanitarnej - magister inżynier (1980)",wyższe,magister inżynier,0,inżynier inżynierii środowiska,23,Rzeszów,podkarpackie,18574,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
42,Artur Chojecki,PiS,1974-04-19,51,Elbląg,M,"Uniwersytet Warmińsko-Mazurski, Wydział Teologii, Teologia - magister (2001)",wyższe,magister,0,urzędnik państwowy,35,Olsztyn,warmińsko-mazurskie,17418,brak,1,True,,,
43,Kazimierz Bogusław Choma,PiS,1957-12-16,68,Kraśnik,M,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Metali Nieżelaznych, Metalurgia Metali Nieżelaznych - magister inżynier (1981) Wyższa Szkoła National-Louis University w Nowym Sączu, Zarządzanie Firmą (1998) - studia podyplomowe Warszawska Szkoła Zarządzania-Szkoła Wyższa, Zarządzanie Nieruchomościami (2012) - studia podyplomowe Collegium Humanum - Szkoła Główna Menedżerska w Warszawie, Executive Master of Business Administration (MBA) (2020) - studia podyplomowe",wyższe,magister inżynier,3,zarządzanie zasobami ludzkimi,6,Lublin,lubelskie,8363,poseł na Sejm RP IX kadencji,2,True,,,
44,Dominika Chorosińska,PiS,1978-12-29,47,Elbląg,K,"Państwowa Wyższa Szkoła Teatralna w Krakowie, Wydział Aktorski, Aktorstwo Dramatyczne - magister sztuki (2000) Akademia Leona Koźmińskiego w Warszawie, Zarządzanie w Mediach (2022) - studia podyplomowe",wyższe,magister,1,aktorka,20,Warszawa,mazowieckie,9582,poseł na Sejm RP IX kadencji,2,True,,,
45,Tadeusz Chrzan,PiS,1963-09-14,62,Grodzisko Dolne,M,"Politechnika Lubelska, Wydział Zarządzania, Przedsiębiorczość i Marketing - magister (2010) Wyższa Szkoła Menedżerska w Warszawie, Executive Master of Business Administration (2018) - studia podyplomowe",wyższe,magister,1,geodeta,22,Krosno,podkarpackie,12184,poseł na Sejm RP IX kadencji,2,True,,,
46,Alicja Chybicka,KO,1951-05-10,74,Wałbrzych,K,"Akademia Medyczna we Wrocławiu, Wydział Lekarski, Nauki Medyczne - lekarz (1975)",wyższe,lekarz,0,lekarz,3,Wrocław,dolnośląskie,78816,"poseł na Sejm RP VIII kadencji, senator VIII i X kadencji",2,True,,,
47,Anna Ewa Cicholska,PiS,1962-02-07,63,Ciechanów,K,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Matematyki, Fizyki i Chemii, Chemia - magister (1991) Uniwersytet Warszawski, Fizyka z Astronomią (2001) - studia podyplomowe",wyższe,magister,1,nauczyciel,16,Płock,mazowieckie,19074,poseł na Sejm RP VIII i IX kadencji,3,True,,,
48,Janusz Cichoń,KO,1957-01-07,69,Bytom,M,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Rolniczy, Ekonomika Rolnictwa - magister inżynier (1981) Szkoła Główna Handlowa w Warszawie, Ekonomia - doktor (1990)",wyższe,doktor,0,"emeryt, nauczyciel akademicki",35,Olsztyn,warmińsko-mazurskie,32356,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
49,Krzysztof Ciecióra,PiS,1989-06-27,36,Radomsko,M,"Uniwersytet Opolski, Wydział Historyczno-Pedagogiczny, Historia - magister (2014) Uniwersytet Warszawski, Podyplomowe Studia Menadżerskie (2018) - studia podyplomowe Akademia WSB, Master of Business Administration z EY Academy of (2019) - studia podyplomowe",wyższe,magister,2,wyższy urzędnik państwowy,10,Piotrków Trybunalski,łódzkie,10426,brak,1,True,,,
