id,imieNazwisko,klub,dataUr,wiek,miejsceUr,plec,ukonczonaSzkola,wyksztalcenie,najwyzszyStopienNaukowy,liczbaStudiowPodyplomowych,zawod,nrOkreguWyborczego,okregWyborczy,wojewodztwoOkreguWyborczego,liczbaGlosow,stazParlamentarny,ktoraKadencja,czyAktywny,powodNieaktywnosci,nieaktywnoscKomentarz,nieaktywnoscKategoria
125,Agnieszka Hanajczyk,KO,1963-01-12,62,Zgierz,K,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (1987) Uniwersytet Łódzki, Pomoc Społeczna (1995) - studia podyplomowe Uniwersytet Łódzki, Organizacja Pomocy Społecznej (1999) - studia podyplomowe",wyższe,magister,2,prawnik,11,Sieradz,łódzkie,16865,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
126,Iwona Hartwich,KO,1970-09-06,55,Rypin,K,"Zespół Szkół Ekonomicznych w Toruniu, Sprzedawca (1988) Liceum Ogólnokształcące w Toruniu (2022)",średnie ogólne,,0,sprzedawca,5,Toruń,kujawsko-pomorskie,17889,poseł na Sejm RP IX kadencji,2,True,,,
127,Paulina Hennig-Kloska,Polska2050,1977-10-05,48,Gniezno,K,"Szkoła Wyższa im. Pawła Włodkowica w Płocku, Wydział Politologii, Politologia i Nauki Społeczne - licencjat (1999) Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Społecznych, Politologia - magister (2001) Akademia Ekonomiczna w Poznaniu, Analiza Finansowa i Controlling (2005) - studia podyplomowe",wyższe,magister,1,"bankowiec, dziennikarz, ekonomista",37,Konin,wielkopolskie,30334,poseł na Sejm RP VIII i IX kadencji,3,True,,,
128,Krzysztof Hetman,PSL,1974-06-27,51,Lublin,M,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Politologia - magister (1998) Wyższa Szkoła Przedsiębiorczości i Administracji w Lublinie, Zarządzanie w Administracji i Samorządzie Terytorialnym (2002) - studia podyplomowe",wyższe,magister,1,politolog,6,Lublin,lubelskie,28876,brak,1,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
129,Czesław Hoc,PiS,1954-02-22,71,Jelenin,M,"Pomorska Akademia Medyczna, Wydział Lekarski - lekarz (1979)",wyższe,lekarz,0,lekarz,40,Koszalin,zachodniopomorskie,31360,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
130,Zbigniew Hoffmann,PiS,1963-07-05,62,Poznań,M,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Społecznych, Nauki Polityczne - magister (1990)",wyższe,magister,0,politolog,37,Konin,wielkopolskie,47594,poseł na Sejm RP IX kadencji,2,True,,,
131,Marek Tomasz Hok,KO,1953-06-15,72,Koszalin,M,"Pomorski Uniwersytet Medyczny, Wydział Lekarski - lekarz (1978) Szkoła Główna Handlowa w Warszawie, Zarządzanie Zakładami Opieki Zdrowotnej (2005) - studia podyplomowe Wyższa Szkoła Bankowa w Poznaniu, Akademia Liderów Samorządowych (2010) - studia podyplomowe",wyższe,lekarz,2,"lekarz, parlamentarzysta, urzędnik samorządowy",40,Koszalin,zachodniopomorskie,8176,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
132,Szymon Hołownia,Polska2050,1976-09-03,49,Białystok,M,Społeczne Liceum Ogólnokształcące Społecznego Towarzystwa Oświatowego w Białymstoku (1995),średnie ogólne,,0,"polityk, publicysta",24,Białystok,podlaskie,79951,brak,1,True,,,
133,Marcin Horała,PiS,1981-10-02,44,Gdańsk,M,"Uniwersytet Gdański, Wydział Nauk Społecznych, Politologia - magister (2004) Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (2006)",wyższe,magister,0,"prawnik, specjalista ds. zarządzania, wyższy urzędnik państwowy",26,Słupsk,pomorskie,47974,poseł na Sejm RP VIII i IX kadencji,3,True,,,
134,Łukasz Horbatowski,KO,1980-05-14,45,Głogów,M,"Akademia Ekonomiczna w Poznaniu, Wydział Ekonomii, Zarządzanie i Marketing - magister (2007) Wrocławska Akademia Biznesu w Naukach Stosowanych, MBA Master in Business Administration (2020) - studia podyplomowe",wyższe,magister,1,pracownik samorządowy,1,Legnica,dolnośląskie,13934,brak,1,True,,,
135,Paweł Hreniak,PiS,1979-09-09,46,Wrocław,M,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Administracja Publiczna - magister (2004) Uniwersytet Ekonomiczny we Wrocławiu, Zarządzanie Jednostkami Opieki Zdrowotnej (2009) - studia podyplomowe Uniwersytet Wrocławski, Wydział Prawa, Administracji i Ekonomii, Ekonomia Menedżerska - magister (2010) Uniwersytet Ekonomiczny we Wrocławiu, Praktyka Zarządzania Projektami Unijnymi (2011) - studia podyplomowe Akademia Pożarnicza w Warszawie, Ochrona ludności, obrona cywilna i zarządzanie kryzysowe (2025) - studia podyplomowe",wyższe,magister,3,urzędnik państwowy,3,Wrocław,dolnośląskie,19384,poseł na Sejm RP IX kadencji,2,True,,,
136,Paweł Jabłoński,PiS,1986-01-25,39,Opole,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2010)",wyższe,magister,0,adwokat,30,Bielsko-Biała,śląskie,22996,brak,1,True,,,
137,Klaudia Jachira,KO,1988-05-31,37,Wrocław,K,"Państwowa Wyższa Szkoła Teatralna w Krakowie, Wydział Lalkarski, Aktorstwo - magister sztuki (2013)",wyższe,magister,0,aktorka,19,Warszawa,mazowieckie,9172,poseł na Sejm RP IX kadencji,2,True,,,
138,Marek Jakubiak,Republikanie,1959-04-30,66,Warszawa,M,"Szkoła Chorążych, Lotnictwo, Eksploatacja Samolotu - technik (1980) Policealne Studium Zawodowe, Organizacja Pracy Kulturalno-Oświatowej (1987)",średnie policealne/pomaturalne,,0,przedsiębiorca prywatny,19,Warszawa,mazowieckie,39151,poseł na Sejm RP VIII kadencji,2,True,,,
139,Maria Małgorzata Janyska,KO,1962-01-16,63,Wyrzysk,K,"Akademia Ekonomiczna w Poznaniu, Wydział Ekonomiki Produkcji i Obrotu, Ekonomika i Organizacja Obrotu Towarowego i Usług - magister (1985) Uniwersytet im. Adama Mickiewicza w Poznaniu, Samorząd Terytorialny (1992) - studia podyplomowe Uniwersytet Ekonomiczny w Poznaniu, Rachunkowość (2009) - studia podyplomowe",wyższe,magister,2,ekonomista,38,Piła,wielkopolskie,23592,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
140,Michał Jaros,KO,1981-01-26,44,Aleksandrów Kujawski,M,"Akademia Ekonomiczna we Wrocławiu, Wydział Inżynieryjno-Ekonomiczny, Zarządzanie i Inżynieria Produkcji - magister inżynier (2006)",wyższe,magister inżynier,0,ekonomista,3,Wrocław,dolnośląskie,30512,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
141,Patryk Jaskulski,KO,1990-08-18,35,Szczecin,M,"Uniwersytet Szczeciński, Wydział Humanistyczny, Politologia - magister (2014) Wyższa Szkoła Bankowa w Poznaniu, Wydział ekonomiczny w Szczecinie, Zarządzanie - magister (2017)",wyższe,magister,0,politolog,41,Szczecin,zachodniopomorskie,7439,brak,1,True,,,
142,Danuta Jazłowiecka,KO,1957-05-19,68,Opole,K,"Wyższa Szkoła Inżynieryjna w Opolu, Wydział Budownictwa Lądowego, Technologia i organizacja Pracy - inżynier (1983) University of Wisconsin, USA, Bachelor of Science of Art - Business Administration (1996) - studia podyplomowe",wyższe,inżynier,1,polityk,21,Opole,opolskie,11580,poseł na Sejm RP V i VI kadencji,3,True,,,
143,Dariusz Joński,KO,1979-01-12,46,Łódź,M,"Politechnika Łódzka, Wydział Organizacji i Zarządzania, Ekonomista - magister (2003) Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo Finansowe i Gospodarcze (2004) - studia podyplomowe",wyższe,magister,1,ekonomista,9,Łódź,łódzkie,87470,poseł na Sejm RP VII i IX kadencji,3,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
144,Marcin Józefaciuk,niez.,1982-10-17,43,Łódź,M,"Wyższa Szkoła Humanistyczno-Ekonomiczna w Łodzi, Wydział Humanistyczny, Filologia Angielska specjalizacja metodyczna - magister (2008) Wyższa Szkoła Informatyki w Łodzi, Nauczanie informatyki (2012) - studia podyplomowe Wyższa Szkoła Informatyki w Łodzi, Nauczanie wychowania fizycznego (2012) - studia podyplomowe Akademia Humanistyczno-Ekonomiczna w Łodzi, Zarządzanie Oświatą (2014) - studia podyplomowe",wyższe,magister,3,nauczyciel,9,Łódź,łódzkie,8893,brak,1,True,,,
145,Norbert Jakub Kaczmarczyk,PiS,1989-11-16,36,Proszowice,M,"Zespół Szkół im. Emila Godlewskiego w Piotrkowicach Małych, Policealne Studium Rolnicze, Rynek Rolny - technik (2013) Krakowska Akademia im. Andrzeja Frycza Modrzewskiego, Wydział Prawa, Administracji i Stosunków Międzynarodowych, Politologia - Komunikacja Społeczna - magister (2013)",wyższe,magister,0,"dziennikarz, parlamentarzysta, politolog, rolnik",15,Tarnów,małopolskie,11926,poseł na Sejm RP VIII i IX kadencji,3,True,,,
146,Filip Kaczyński,PiS,1987-11-19,38,Sucha Beskidzka,M,"Wyższa Szkoła Turystyki i Ekologii w Suchej Beskidzkiej, Wydział Nauk Społecznych, Politologia - licencjat (2010) Wyższa Szkoła Biznesu - National Louis University w Nowym Sączu, Master of Business Administration MBA (2021) - studia podyplomowe",wyższe,licencjat,1,politolog,12,Kraków,małopolskie,18285,poseł na Sejm RP VII i IX kadencji,3,True,,,
147,Jarosław Kaczyński,PiS,1949-06-18,76,Warszawa,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji - magister (1971) Uniwersytet Warszawski, Nauki Prawne - doktor (1976)",wyższe,doktor,0,prawnik,33,Kielce,świętokrzyskie,177228,"poseł na Sejm RP I, III, IV, V, VI, VII, VIII i IX kadencji, senator I kadencji",9,True,,,
148,Piotr Kaleta,PiS,1968-06-25,57,Kalisz,M,"Wyższa Szkoła Kadr Menedżerskich w Koninie, Wydział Administracji, Administracja Publiczna - licencjat (2018)",wyższe,licencjat,0,parlamentarzysta,36,Kalisz,wielkopolskie,16344,"poseł na Sejm RP VIII i IX kadencji, senator VII kadencji",3,True,,,
149,Sebastian Kaleta,PiS,1989-07-29,36,Siedliszcze,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2013)",wyższe,magister,0,radca prawny,19,Warszawa,mazowieckie,31369,poseł na Sejm RP IX kadencji,2,True,,,
150,Mariusz Kałużny,PiS,1986-08-10,39,Toruń,M,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Teologii - magister (2011) Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Politologii i Stosunków Międzynarodowych - magister (2015) Wyższa Szkoła Finansów i Zarządzania w Warszawie, Master of Business Administration (2018) - studia podyplomowe",wyższe,magister,1,politolog,5,Toruń,kujawsko-pomorskie,19072,poseł na Sejm RP IX kadencji,2,True,,,
151,Mariusz Kamiński,PiS,1965-09-25,60,Sochaczew,M,"Uniwersytet Warszawski, Wydział Historyczny, Historia - magister (1990)",wyższe,magister,0,historyk,7,Chełm,lubelskie,44195,"poseł na Sejm RP III, IV, V, VII, VIII i IX kadencji",7,False,,Utrata prawa wybieralności,Utrata prawa wybieralności
152,Piotr Kandyba,KO,1969-10-13,56,Dobra,M,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Technologii Żywności, Technologia Mleczarska - magister inżynier (1994) Szkoła Główna Handlowa w Warszawie, MBA in Minnesota University (2002) - studia podyplomowe",wyższe,magister inżynier,1,menedżer,20,Warszawa,mazowieckie,15144,brak,1,True,,,
153,Jan Kanthak,PiS,1991-09-20,34,Gdańsk,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2015)",wyższe,magister,0,prawnik,6,Lublin,lubelskie,22037,poseł na Sejm RP IX kadencji,2,True,,,
154,Fryderyk Sylwester Kapinos,PiS,1961-12-31,64,Mielec,M,"Akademia Rolnicza w Krakowie, Wydział Rolniczy Oddział Technologii Żywności, Technologia Żywności - magister inżynier (1986)",wyższe,magister inżynier,0,technolog żywności,23,Rzeszów,podkarpackie,18065,poseł na Sejm RP IX kadencji,2,True,,,
155,Jacek Karnowski,KO,1963-08-16,62,Gdańsk,M,"Politechnika Gdańska, Wydział Budownictwa Lądowego, Konstrukcje Inżynierskie - magister inżynier (1988) Uniwersytet Gdański, Finanse - doktor (2007)",wyższe,doktor,0,"ekonomista, inżynier budownictwa",25,Gdańsk,pomorskie,55069,brak,1,True,,,
156,Iwona Karolewska,KO,1974-03-11,51,Lniano,K,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Prawa i Administracji, Administracja - magister (2000) Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Prawa i Administracji, Prawo - magister (2005) Uniwersytet Warszawski, Samorząd Terytorialny i Rozwój Lokalny (2006) - studia podyplomowe Wyższa Szkoła Społeczno-Ekonomiczna w Gdańsku, MBA (2023) - studia podyplomowe",wyższe,magister,2,urzędnik samorządowy,4,Bydgoszcz,kujawsko-pomorskie,8572,brak,1,True,,,
157,Rafał Kasprzyk,Polska2050,1971-08-27,54,Busko Zdrój,M,"Politechnika Świętokrzyska w Kielcach, Wydział Budownictwa, Budownictwo Ogólne - magister inżynier (1996) Akademia Ekonomiczna w Krakowie, Wydział Ekonomiczny, Finanse i Bankowość - licencjat (1997) Szkoła Biznesu Politechniki Warszawskiej, Executive MBA (2004) - studia podyplomowe ESADE BUSINESS SCHOOL W BARCELONIE, HISZPANIA, Program dla Dyrektorów - Właścicieli (2008) - studia podyplomowe",wyższe,magister inżynier,2,"inżynier budownictwa, menedżer",33,Kielce,świętokrzyskie,10907,brak,1,True,,,
158,Henryk Kiepura,PSL,1969-11-10,56,Kłobuck,M,"Uniwersytet Śląski, Wydział Prawa, Prawo - magister (2001) Uniwersytet Łódzki, Fundusze Unii Europejskiej (2004) - studia podyplomowe",wyższe,magister,1,prawnik,28,Częstochowa,śląskie,20665,brak,1,True,,,
159,Marcin Kierwiński,KO,1976-08-22,49,Warszawa,M,"Politechnika Warszawska, Wydział Elektroniki i Technik Informacyjnych, Elektronika Biomedyczna - magister inżynier (2001) Politechnika Warszawska, Wydział Inżynierii Produkcji, Zarządzanie i Marketing - magister inżynier (2002) Instytut Organizacji i Zarządzania w Przemyśle ""ORGMASZ"", Studia Zarządzania Infrastrukturą IT (2003) - studia podyplomowe",wyższe,magister inżynier,1,elektronik,16,Płock,mazowieckie,51828,"poseł na Sejm RP VII, VIII i IX kadencji",4,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
160,Katarzyna Kierzek-Koperska,KO,1974-06-09,51,Września,K,"Uniwersytet WSB Merito, Finanse i Bankowość, Podatki - licencjat (1996) Uniwersytet WSB Merito, Finanse i Bankowość, Rachunkowość - magister (2001)",wyższe,magister,0,doradca podatkowy,39,Poznań,wielkopolskie,20091,brak,1,True,,,
161,Dariusz Klimczak,PSL,1980-06-17,45,Rawa Mazowiecka,M,"Uniwersytet Jagielloński w Krakowie, Wydział Historyczny, Historia - magister (2005) Uniwersytet Warszawski, Politologia (2008) - studia doktoranckie",wyższe,magister,0,historyk,10,Piotrków Trybunalski,łódzkie,21826,poseł na Sejm RP IX kadencji,2,True,,,
162,Joanna Kluzik-Rostkowska,KO,1963-12-14,62,Katowice,K,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Dziennikarstwo - magister (1993)",wyższe,magister,0,dziennikarz,17,Radom,mazowieckie,21218,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
163,Agnieszka Maria Kłopotek,PSL,1969-07-09,56,Tarnów,K,"Akademia Rolnicza w Krakowie, Wydział Zootechniczny, Zootechnika - magister inżynier (1995) Akademia Ekonomiczna w Krakowie, Zarządzanie Małymi i Średnimi Przedsiębiorstwami (1996) - studia podyplomowe Politechnika Krakowska, Gospodarka i Szacowanie Nieruchomościami (1999) - studia podyplomowe Instytut Zootechniki Państwowy Instytut Badawczy w Balicach, Ekonomika Produkcji Trzody Chlewnej - doktor (2004)",wyższe,doktor,2,zootechnik,4,Bydgoszcz,kujawsko-pomorskie,11049,brak,1,True,,,
164,Łukasz Kmita,PiS,1985-11-07,40,Olkusz,M,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Politycznych i Dziennikarstwa, Politologia - magister (2010) Uniwersytet Ekonomiczny w Katowicach wspólnie z Uniwersytetem Technicznym w Brnie, Międzynarodowe Studia Menadżersko-Finansowe (2017) - studia podyplomowe",wyższe,magister,1,urzędnik państwowy,12,Kraków,małopolskie,26062,brak,1,True,,,
165,Michał Kobosko,Polska2050,1968-04-15,57,Warszawa,M,"Uniwersytet SWPS, Zarządzanie i Przywództwo - licencjat (2020)",wyższe,licencjat,0,dziennikarz,19,Warszawa,mazowieckie,61452,brak,1,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
166,Maria Koc,PiS,1964-08-22,61,Prudnik,K,"Uniwersytet Warszawski, Wydział Historyczny, Etnologia/Antropologia Kultury - magister (1996) Uniwersytet Warszawski, Studia Samorządu Terytorialnego i Rozwoju Lokalnego (2007) - studia podyplomowe",wyższe,magister,1,parlamentarzysta,18,Siedlce,mazowieckie,70732,"senator VIII, IX i X kadencji",4,True,,,
167,Ewa Kołodziej,KO,1978-09-02,47,Katowice,K,"Uniwersytet Śląski, Wydział Nauk Społecznych, Politologia - magister (2002)",wyższe,magister,0,politolog,31,Katowice,śląskie,7283,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
168,Magdalena Małgorzata Kołodziejczak,KO,1958-06-19,67,Dąbrówka,K,"Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (1981)",wyższe,magister,0,prawnik,25,Gdańsk,pomorskie,12773,brak,1,True,,,
169,Michał Kołodziejczak,KO,1988-09-14,37,Sieradz,M,Liceum Ogólnokształcące nr 2 imienia Stefana Żeromskiego w Sieradzu (2007),średnie ogólne,,0,rolnik,37,Konin,wielkopolskie,44062,brak,1,True,,,
170,Rafał Komarewicz,Polska2050,1971-06-10,54,Ełk,M,"Uniwersytet Jagielloński w Krakowie, Wydział Lekarski, Stomatologia - lekarz dentysta (1996)",wyższe,lekarz dentysta,0,przedsiębiorca prywatny,13,Kraków,małopolskie,44808,brak,1,True,,,
171,Maciej Konieczny,Razem,1980-10-14,45,Gliwice,M,"Uniwersytet Śląski, Wydział Filologiczny, Kulturoznawstwo - magister (2005)",wyższe,magister,0,parlamentarzysta,31,Katowice,śląskie,17901,poseł na Sejm RP IX kadencji,2,True,,,
172,Zbigniew Konwiński,KO,1974-03-24,51,Słupsk,M,"Wyższa Szkoła Pedagogiczna, Wydział Filozoficzno-Historyczny, Historia - magister (1999) Zachodniopomorska Szkoła Biznesu, Zarządzanie Biznesem (2001) - studia podyplomowe",wyższe,magister,1,"historyk, menedżer",26,Słupsk,pomorskie,15538,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
173,Władysław Kosiniak-Kamysz,PSL,1981-08-10,44,Kraków,M,"Uniwersytet Jagielloński w Krakowie, Wydział Lekarski, Lekarz - lekarz (2006) Uniwersytet Jagielloński w Krakowie, Nauki Medyczne - doktor (2010)",wyższe,doktor,0,lekarz,15,Tarnów,małopolskie,50139,poseł na Sejm RP VIII i IX kadencji,3,True,,,
174,Tomasz Kostuś,KO,1974-03-07,51,Kluczbork,M,"Uniwersytet Opolski, Wydział Humanistyczno-Historyczny, Politologia i Nauki Społeczne - magister (1998) Wyższa Szkoła Zarządzania i Administracji w Opolu, Zarządzanie w Administracji Rządowej i Samorządowej (2001) - studia podyplomowe Akademia Obrony Narodowej, Bezpieczeństwo Narodowe (2003) - studia podyplomowe",wyższe,magister,2,politolog,21,Opole,opolskie,11857,poseł na Sejm RP VIII i IX kadencji,3,True,,,
175,Andrzej Kosztowniak,PiS,1976-03-31,49,Radom,M,"Politechnika Radomska, Wydział Ekonomiczny, Ekonomia - magister (2001) Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa, Prawo - magister (2003) Politechnika Lubelska, MBA (2017) - studia podyplomowe",wyższe,magister,1,"ekonomista, prawnik",17,Radom,mazowieckie,9755,poseł na Sejm RP VIII i IX kadencji,3,True,,,
176,Katarzyna Kotula,Lewica,1977-02-01,48,Gryfino,K,"Collegium Balticum - Szczecin, Filologia Angielska",wyższe,licencjat,0,nauczyciel,25,Gdańsk,pomorskie,33122,poseł na Sejm RP IX kadencji,2,True,,,
177,Paweł Kowal,KO,1975-07-22,50,Rzeszów,M,"Uniwersytet Jagielloński w Krakowie, Wydział Historyczny, Historia - magister (1999) Instytut Studiów Politycznych PAN, Nauki Polityczne - doktor (2011) Instytut Studiów Politycznych PAN, Nauki Społeczne - doktor habilitowany (2019)",wyższe,doktor,0,nauczyciel akademicki,23,Rzeszów,podkarpackie,63534,"poseł na Sejm RP V, VI i IX kadencji",4,True,,,
178,Henryk Kowalczyk,PiS,1956-07-15,69,Żabianka,M,"Uniwersytet Warszawski, Wydział Matematyki, Matematyka - magister (1979)",wyższe,magister,0,matematyk,18,Siedlce,mazowieckie,30081,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
179,Janusz Kowalski,PiS,1978-04-11,47,Opole,M,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Administracja - magister (2004) Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (2008) Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo Spółek (2011) - studia podyplomowe",wyższe,magister,1,prawnik,21,Opole,opolskie,14593,poseł na Sejm RP IX kadencji,2,True,,,
180,Bartosz Józef Kownacki,PiS,1979-08-11,46,Warszawa,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2003) Aplikacja Prokuratorska (2006)",wyższe,magister,0,adwokat,4,Bydgoszcz,kujawsko-pomorskie,17135,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
181,Iwona Maria Kozłowska,KO,1963-08-11,62,Więcbork,K,"Wyższa Szkoła Pedagogiczna w Bydgoszczy, Wydział Pedagogiczny, Nauczanie początkowe - magister (1986) Uniwersytet Gdański, Zakład Logopedii, Neurologopedia (2002) - studia podyplomowe Uniwersytet Gdański, Zakład Logopedii, Surdologopedia (2003) - studia podyplomowe",wyższe,magister,2,pedagog,4,Bydgoszcz,kujawsko-pomorskie,14514,poseł na Sejm RP VII i IX kadencji,3,True,,,
182,Stefan Krajewski,PSL,1981-06-08,44,Zambrów,M,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, politologia - magister (2008) Uniwersytet Warmińsko-Mazurski w Olsztynie, Polityka Rolna Unii Europejskiej ""Agro-Unia"" (2009) - studia podyplomowe Wyższa Szkoła Finansów i Zarządzania w Białymstoku, MBA (2020) - studia podyplomowe",wyższe,magister,2,politolog,24,Białystok,podlaskie,9803,poseł na Sejm RP IX kadencji,2,True,,,
183,Wiesław Krajewski,PiS,1964-06-03,61,Chojnów,M,"Uniwersytet Rzeszowski, Wydział Prawa, Administracja - magister (2004)",wyższe,magister,0,parlamentarzysta,15,Tarnów,małopolskie,24838,poseł na Sejm RP VIII i IX kadencji,3,True,,,
184,Leonard Krasulski,PiS,1950-11-08,75,Sopot,M,Liceum Ogólnokształcące w Gdańsku (1968),średnie ogólne,,0,pracownik administracyjny,34,Elbląg,warmińsko-mazurskie,13948,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
185,Iwona Małgorzata Krawczyk,KO,1965-07-19,60,Jawor,K,"Akademia Wychowania Fizycznego, Wydział Wychowania Fizycznego, Nauczycielski - magister (1993) Akademia Ekonomiczna, Skuteczny Menedżer Nowoczesnej Firmy (1998) - studia podyplomowe Kolegium Karkonoskie (PWSZ) Instytut Pedagogiki, Zarządzanie Placówką Oświatową w Nowej Strukturze (2001) - studia podyplomowe Wałbrzyska Wyższa Szkoła Zarządzania i Przedsiębiorczości, WOS (2009) - studia podyplomowe Studium Prawa Europejskiego, Patriotyzmu, Obronności i Bezpieczeństwa (2009) - studia podyplomowe Studium Prawa Europejskiego, Kierownika projektu z Funduszy Europejskich (2010) - studia podyplomowe Studium Prawa Europejskiego, Kierownika projektu z Funduszy Europejskich (2014) - studia podyplomowe",wyższe,magister,6,"menedżer, nauczyciel",1,Legnica,dolnośląskie,8831,poseł na Sejm RP VIII kadencji,2,True,,,
186,Michał Krawczyk,KO,1978-03-21,47,Lublin,M,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Ekonomiczny, Zarządzanie i Marketing - magister (2002) Wyższa Szkoła Zarządzania i Prawa w Warszawie, Marketing Polityczny i Medialny (2007) - studia podyplomowe",wyższe,magister,1,menedżer,6,Lublin,lubelskie,12009,poseł na Sejm RP IX kadencji,2,True,,,
187,Robert Kropiwnicki,KO,1974-07-23,51,Legnica,M,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Politologia - magister (1999) Uniwersytet Wrocławski, Nauki Prawne - doktor (2006) Uniwersytet Humanistycznospołeczny SWPS, Wydział Prawa, Prawo - magister (2018) Uniwersytet SWPS w Warszawie - dr hab. nauk społecznych w dyscypinie nauki prawne (2024)",wyższe,doktor,0,"menedżer, nauczyciel akademicki",1,Legnica,dolnośląskie,31838,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
188,Piotr Król,PiS,1974-06-26,51,Bydgoszcz,M,"Wyższa Szkoła Pedagogiczna (obecnie Uniwersytet Kazimierza Wielkiego), Administracja - licencjat (1997) Wyższa Szkoła Pedagogiczna w Bydgoszczy (obecnie Uniwersytet Kazimierza Wielkiego), Politologia - magister (1999) Wyższa Szkoła Bankowa w Toruniu, Studia Menedżerskie (2012) - studia podyplomowe Uniwersytet Gdański, Ekonomia (2016) - studia doktoranckie",wyższe,magister,1,politolog,4,Bydgoszcz,kujawsko-pomorskie,17952,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
189,Wojciech Król,KO,1985-04-22,40,Jaworzno,M,"Uniwersytet Śląski, Wydział Radia i Telewizji, Organizacja Produkcji Filmowej i TV - licencjat (2007) Wyższa Szkoła Europejska w Krakowie, Dziennikarstwo (2008) - studia podyplomowe Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna w Łodzi, Wydział Operatorski, Realizacja Obrazu Filmowego, Telewizyjnego i Fotografii - magister (2010) Wyższa Szkoła Europejska w Krakowie, Akademia Zarządzania (2011) - studia podyplomowe",wyższe,magister,2,"parlamentarzysta, urzędnik samorządowy",31,Katowice,śląskie,7136,poseł na Sejm RP VIII i IX kadencji,3,True,,,
190,Anna Krupka,PiS,1981-10-30,44,Warszawa,K,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii, Socjologia - magister (2008) Szkoła Główna Handlowa w Warszawie, Marketing Internetowy (2015) - studia podyplomowe",wyższe,magister,1,socjolog,33,Kielce,świętokrzyskie,39854,poseł na Sejm RP VIII i IX kadencji,3,True,,,
